NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,sewage sludge,straw
FR62,2568591.6666666665,499999.99999999994,911252.7777777778,2583333.333333333,0,14016216.666666668,0,2911211.111111111
FR63,1732958.333333333,388888.8888888889,740588.8888888888,2194444.444444444,0,6685038.888888889,0,97211.1111111111
FR71,4215061.111111111,777777.7777777778,1405552.7777777778,2805555.555555555,0,12687944.444444444,0,1586052.7777777778
FR72,2650199.9999999995,527777.7777777778,945902.7777777778,3333333.333333333,0,9590913.888888888,0,848552.7777777778
FR81,1865555.5555555555,361111.11111111107,637591.6666666666,277777.77777777775,0,6543433.333333332,0,709908.3333333333
FR82,2091247.222222222,361111.11111111107,631505.5555555555,222222.22222222222,0,5391736.111111111,0,393674.99999999994
FR83,233394.44444444444,27777.777777777777,82002.77777777777,55555.555555555555,0,612666.6666666665,0,139625.0
FRA3,0,0,0,0,0,750.0,0,0
FRA4,0,0,0,0,0,222.2222222222222,0,0
HR,0,0,0,0,28953.888888888883,0,12222.22222222222,0
HR03,2198861.111111111,30955.787037037033,91395.23148148147,150552.49999999997,0,3940055.555555555,0,501832.40740740736
HR04,2216755.5555555555,154778.93518518517,456976.15740740736,752762.4999999999,0,14296333.333333334,0,2008939.8148148146
HU,0,0,0,0,2906947.222222222,0,93611.11111111111,0
HU10,1102308.3333333333,27777.777777777777,120038.88888888889,555555.5555555555,0,5663677.777777777,0,703049.9999999999
HU21,1417016.6666666665,55555.555555555555,182936.1111111111,2638888.8888888885,0,6510927.777777776,0,1649069.4444444443
HU22,2664997.222222222,111111.11111111111,308741.6666666666,1694444.4444444443,0,6523775.000000001,0,1859813.8888888888
HU23,2325224.9999999995,111111.11111111111,295941.6666666666,2722222.222222222,0,8932336.11111111,0,2212369.4444444445
HU31,2322749.9999999995,111111.11111111111,323291.6666666666,999999.9999999999,0,7719113.888888888,0,1305141.6666666665
HU32,1688955.5555555553,55555.555555555555,168869.4444444444,4750000.0,0,8778494.444444444,0,2249194.444444444
HU33,2158336.111111111,55555.555555555555,199033.3333333333,4055555.555555555,0,11759408.333333334,0,3097674.9999999995
IE,0,0,0,0,590436.9444444444,0,555.5555555555555,0
IE01,2410325.0,777777.7777777776,748147.2222222221,1666666.6666666665,0,5177236.11111111,0,15222.22222222222
IE02,1496088.8888888888,472222.2222222222,469591.6666666666,3444444.444444444,0,4759488.888888888,0,48586.11111111111
IS,0,0,0,0,307981.3888888889,0,0,0
IT,0,0,0,0,10330161.11111111,0,84166.66666666666,0
