NUTS2,forest residues,industry wood residues,landscape care,manureslurry,municipal solid waste,not included,sewage sludge,straw
NL41,220444.44444444444,27777.777777777777,83994.44444444444,2361111.111111111,0,1634800.0,0,132947.22222222222
NL42,115641.66666666666,0,40647.22222222221,1250000.0,0,1033177.7777777776,0,103083.33333333333
NO,0,0,0,0,4667016.666666666,0,129444.44444444444,0
NO01,640972.2222222221,0,0,0,0,1800713.8888888885,0,0
NO02,1793255.5555555555,0,0,0,0,5088308.333333333,0,0
NO03,1457186.1111111108,0,0,0,0,4451880.555555554,0,0
NO04,667736.111111111,0,0,0,0,1988019.4444444443,0,0
NO05,620619.4444444444,0,0,0,0,1951397.222222222,0,0
NO06,669408.3333333333,0,0,0,0,2133936.111111111,0,0
NO07,280011.11111111107,0,0,0,0,959952.7777777776,0,0
PL,0,0,0,0,5388199.999999999,0,192777.77777777775,0
PL11,975419.4444444444,83333.33333333333,97541.66666666666,1249999.9999999998,0,5886541.666666665,0,773324.9999999999
PL12,1593516.6666666665,166666.66666666666,162400.0,2444444.444444444,0,8883036.11111111,0,763066.6666666666
PL21,844013.8888888888,83333.33333333333,104122.22222222222,55555.555555555555,0,4293661.111111111,0,199033.3333333333
PL22,1192558.3333333333,138888.88888888888,140780.55555555553,388888.8888888888,0,4645091.666666666,0,440702.7777777777
PL31,1217380.5555555555,138888.88888888888,140683.3333333333,361111.11111111107,0,12514319.444444444,0,1469633.3333333333
PL32,1983205.5555555555,222222.2222222222,244486.1111111111,111111.11111111111,0,8149608.333333334,0,562161.111111111
PL33,914083.3333333333,83333.33333333333,87266.66666666666,249999.99999999997,0,3800866.666666666,0,341913.8888888889
PL34,1352041.6666666665,166666.66666666666,169561.1111111111,444444.4444444444,0,5680555.555555554,0,132127.77777777778
PL41,2441661.1111111105,222222.2222222222,251916.66666666666,6416666.666666666,0,16953186.111111112,0,1196611.111111111
PL42,2346872.222222222,222222.2222222222,254783.3333333333,1944444.444444444,0,8880994.444444444,0,1562658.3333333333
PL43,1933872.222222222,194444.44444444444,199094.44444444444,777777.7777777778,0,4860113.888888889,0,526327.7777777778
PL51,1912905.5555555553,194444.44444444444,219055.55555555553,555555.5555555555,0,10114275.0,0,1841169.4444444443
PL52,598027.7777777778,55555.555555555555,71572.22222222222,611111.111111111,0,5922838.888888888,0,1027547.222222222
PL61,1247874.9999999998,111111.11111111111,119033.33333333333,805555.5555555555,0,10492283.333333334,0,869677.7777777778
PL62,2551622.222222222,250000.0,281402.77777777775,611111.111111111,0,9611252.777777776,0,511258.33333333326
PL63,2170936.111111111,194444.44444444444,222024.99999999997,861111.111111111,0,7347594.444444444,0,900397.2222222221
PT,0,0,0,0,2586861.9444444445,0,114166.66666666664,0
PT11,1326455.5555555553,138888.88888888888,153880.55555555553,0,0,2803022.222222222,0,169516.66666666666
PT15,89708.33333333333,0,9738.888888888889,0,0,558705.5555555556,0,23191.666666666664
PT16,3886569.444444444,416666.6666666666,439886.11111111107,972222.2222222222,0,6502849.999999999,0,263450.0
PT17,139205.55555555556,0,15927.777777777777,138888.88888888888,0,534849.9999999999,0,30469.444444444438
PT18,1296474.9999999998,138888.88888888888,154561.1111111111,2166666.6666666665,0,3030369.4444444445,0,326788.8888888889
PT20,0,0,0,0,0,61833.33333333332,0,0
RO,0,0,0,0,1827429.722222222,0,4166.666666666666,0
RO11,2766227.7777777775,416666.6666666667,291644.4444444444,472222.2222222222,0,12977100.0,0,762330.5555555555
RO12,3328783.3333333335,444444.44444444444,311808.33333333326,666666.6666666666,0,13473013.888888888,0,255761.1111111111
RO21,3440838.8888888885,194444.44444444444,141572.22222222222,749999.9999999999,0,14528986.111111108,0,692141.6666666665
RO22,1628797.222222222,222222.22222222222,149519.44444444444,916666.6666666666,0,18400244.44444444,0,1602447.2222222222
RO31,1644736.111111111,0,4477.777777777777,1527777.7777777775,0,15006977.777777772,0,2451577.7777777775
RO32,45674.99999999999,222222.22222222222,162800.0,0,0,1816925.0,0,119149.99999999999
RO41,1809013.8888888885,361111.11111111107,265491.6666666666,27777.777777777777,0,13499163.888888884,0,1837344.4444444445
RO42,2797347.2222222215,2194444.444444444,1576074.9999999998,277777.77777777775,0,19289958.333333332,0,879747.2222222221
RS,917099.9999999999,0,0,0,0,10083333.333333332,7222.222222222222,3574702.777777777
SE,0,0,0,0,6126119.444444444,0,337222.2222222222,0
SE11,967188.8888888888,888888.8888888889,231377.77777777775,0,0,3359763.888888888,0,172083.3333333333
SE12,3137616.6666666665,1138888.8888888888,290008.3333333333,388888.8888888889,0,10802666.666666666,0,1134066.6666666665
SE21,4105880.5555555555,444444.44444444444,117105.55555555555,333333.3333333333,0,12932019.444444446,0,28755.555555555547
SE22,1752944.4444444443,777777.7777777778,198530.55555555553,333333.3333333333,0,6889161.111111111,0,1167158.3333333333
SE23,2803852.777777778,1666666.6666666665,432172.2222222222,361111.11111111107,0,8934983.33333333,0,389147.22222222213
SE31,5791022.222222222,1305555.5555555555,337969.44444444444,27777.777777777777,0,18445050.0,0,66758.33333333333
SE32,4425430.555555555,1333333.333333333,339872.2222222222,0,0,14510891.666666668,0,46049.99999999999
SE33,4374850.0,7833333.333333332,2019822.222222222,0,0,14545124.999999998,0,2044.4444444444443
SI,0,0,0,0,208561.1111111111,0,13055.555555555555,0
SI03,2947416.6666666665,277777.77777777775,61444.44444444444,166666.66666666666,0,5771197.222222221,0,43744.44444444444
SI04,1773969.444444444,166666.66666666666,35352.777777777774,83333.33333333333,0,3243119.444444444,0,29144.44444444444
SK,0,0,0,0,813722.7777777778,0,277.77777777777777,0
SK01,96388.88888888888,27777.777777777777,9033.333333333332,55555.555555555555,0,494583.33333333326,0,154397.22222222222
SK02,717341.6666666665,138888.88888888888,65216.66666666666,1555555.5555555555,0,4938558.333333332,0,1460094.4444444443
SK03,2386011.111111111,527777.7777777778,211302.77777777775,666666.6666666666,0,5187938.888888889,0,198855.55555555556
SK04,1434161.1111111108,333333.3333333333,129341.66666666666,416666.6666666666,0,3622927.7777777775,0,390811.1111111111
